district,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,Bachelor's Degree or Higher,White BA (Bachelor's Degree or Higher Among Whites Only),Median Income
CA-39,51.5,42.9,47.1,50.8,47.3,49.4,51.6,48.4,42.8,57.2,31.5,68.5,37.1,2.7,28.8,29.3,0.2,1.9,37.4,2.4,28.5,29.8,0.2,1.8,89.1,41.5,42.9,87752.00
CA-40,82.2,12.8,81.5,16.5,76.9,19.4,77.3,0,71.4,0,100,0,8.1,7.6,79.9,3.6,0.2,0.6,6.7,5.5,84.2,2.8,0.2,0.6,55.1,10,22.6,46484.00
CA-41,61,33.1,61.5,36.3,58.5,38,65.1,34.9,65,35,56.6,43.4,30.6,11.1,49.7,6.3,0.4,1.9,30.9,9.6,50.3,6.9,0.4,1.9,75.9,17.4,26,63921.00
CA-42,41.4,53.4,41.4,56.5,43,53.9,43.5,56.5,41.2,58.8,34.3,65.7,50.6,6.3,31.2,9.1,0.4,2.5,50.8,5.3,32.1,9.3,0.4,2.1,86.6,25.5,27.9,82030.00
CA-43,78.4,16.7,78,20,75.2,21.8,77.7,22.3,76.1,23.9,71,29,19.9,27.8,35.2,14.2,0.3,2.6,17.7,24.2,41.7,14.1,0.2,2.1,78,26.4,44.7,57130.00
CA-44,83,12.3,84.7,13.6,81,15.8,100,0,100,0,86.7,0,10.5,21.8,58.4,7.6,0.3,1.5,9,18,64.5,7.1,0.2,1.2,64.3,12.8,28.6,52173.00
CA-45,49.8,44.4,43,54.8,46.3,50.6,52.1,47.9,41.4,58.6,34.9,65.1,59.5,1.8,15.2,20.8,0.2,2.6,58.3,1.5,16.4,21,0.2,2.7,93.6,54.7,55.4,102575.00
CA-46,66.3,27.9,61.4,36.2,57.8,38.6,69.1,30.9,100,0,59.7,40.3,29.3,2.4,49.6,17.2,0.2,1.4,22.5,1.9,60.8,13.3,0.2,1.2,67.9,18.9,31.4,63750.00
CA-47,62.6,31,60,37.5,57.9,38.6,64.9,35.1,63.7,36.3,56,44,40.5,8.2,25.7,23,0.3,2.3,38.5,7.3,29.6,22.1,0.3,2.2,81.9,32,42.2,67451.00
CA-48,47.9,46.2,43,54.7,45.9,50.8,53.6,46.4,41.7,58.3,35.9,64.1,62.5,1.4,15.2,18.4,0.3,2.2,61.5,1,17,18.1,0.2,2.1,89.6,45.2,52.2,91464.00
CA-49,50.7,43.2,45.7,52.2,49,47.9,56.4,43.6,49.7,50.3,39.8,60.2,68.7,2.6,19.5,6.5,0.3,2.4,65.4,2.4,22.1,7.6,0.4,2.2,90.7,44.8,52.4,87919.00
CA-50,39.6,54.6,37.6,60.4,39.1,58,48.3,51.7,36.5,63.5,28.8,71.2,64.9,2.9,22.6,5.9,1,2.8,63.3,2.3,25.7,5.5,0.9,2.2,87,28.7,34,74605.00
CA-51,71.8,22.8,69.4,28.9,65,31.7,71.2,28.8,72.8,27.2,68.8,31.2,19.5,8.5,60.5,9.5,0.5,1.5,17.6,7.4,63.9,9.1,0.5,1.5,69.9,14.6,25.7,47569.00
CA-52,58.1,35.6,52.1,45.7,54.6,42.5,63.8,36.2,56.5,43.5,51.6,48.4,64.9,3.2,12.3,16.2,0.3,3.1,64.7,2.9,11.6,17.8,0.3,2.8,95.2,58.4,61.6,94302.00
CA-53,64.5,29.6,6.4,36.4,60.7,36.4,69.1,30.9,67,33,58.8,41.2,48,8.3,27.2,13.1,0.2,3.2,48.1,7.5,27.6,13.5,0.4,2.9,88.9,37.7,47,73421.00
CO-01,69,23.2,69,28.8,70.9,27.6,73.8,23,67.9,27.7,65.8,29,68.6,7.9,18.5,2.7,0.5,1.9,62.2,8,24.2,3.3,0.6,1.8,88.3,47.6,61.2,65874.00
CO-02,56.2,34.9,57.9,39.5,61.2,37.2,60.3,33.6,56.9,37.2,56.7,43.3,87.5,0.9,7.5,2.2,0.4,1.5,86.7,0.7,8.1,2.8,0.4,1.3,96.4,54.8,57.1,78311.00
CO-03,40,52,45.8,51.8,48.4,49.9,43.6,51.5,40.3,54.6,35.7,58,77,0.8,18.8,0.7,1.4,1.2,75.5,0.7,20.7,0.7,1.2,1.2,90.3,30.9,36,53778.00
CO-04,34.3,57.4,39.2,58.5,41.9,56.4,39.4,60.6,31.7,63.5,29.2,64.7,79.4,1.2,16.1,1.4,0.5,1.4,77.2,1.3,18.1,1.7,0.6,1.1,91,34.7,39.2,74481.00
CO-05,33.2,57.2,38.3,59.1,39.7,58.8,39.3,57,30.9,62.3,40.2,59.8,76.6,5.6,12.4,2.3,0.4,2.8,77.1,5.2,12,2.8,0.7,2.3,93.6,36.2,39.9,63890.00
CO-06,50.2,41.3,51.6,46.5,53.6,44.9,54.1,42.9,42.6,50.9,43,51.9,70.8,8.7,13.1,4.7,0.4,2.2,67.3,8.4,16.7,5.3,0.4,1.8,92,42.4,50.3,80264.00
CO-07,51.4,39.4,56.1,41.3,57.4,40.7,60.4,35.4,55.2,39.8,55.1,44.9,72.8,1.6,20.8,2.7,0.6,1.5,70.9,1.3,22.7,3.2,0.6,1.3,88.5,33.2,39.8,69173.00
CT-01,59.4,36.3,63.3,35.6,65.8,32.9,63.9,35,64.1,33.8,62.3,36.1,68.5,13.1,13.8,3.1,0.1,1.4,68.8,12.9,12.5,4.2,0.1,1.4,89.5,37,42.2,72552.00
CT-02,48.7,45.8,55.9,42.6,58.6,40,62.2,35.4,63.2,33.7,62.3,35.5,85.9,3.6,6.3,2.2,0.3,1.7,86,3.7,5.7,2.9,0.4,1.4,92.4,35.3,36.8,76947.00
CT-03,55.9,40.4,62.6,36.3,62.6,36.2,64.6,35.4,69,31,67.1,32.9,71.6,12.4,11.4,3,0.1,1.4,72.5,11.6,10.6,3.8,0.2,1.4,91.2,36.2,39.5,69186.00
CT-04,59.6,36.6,55.1,44,59.6,39.7,61.2,38.8,59.9,40.1,53.7,46.3,70.3,11.4,13.3,3.9,0.2,0.9,66.8,10.9,16.2,4.6,0.1,1.4,90,49.6,60.9,95749.00
CT-05,49.9,45.8,53.5,45.3,56.4,42.4,55.9,44.1,58,42,53.3,45.8,76.6,6.4,13.4,2.5,0.1,1.1,76.7,5.6,13.1,2.9,0.1,1.5,89.4,36.5,41.2,72591.00
DE-AL,53.4,41.9,58.6,40,61.9,36.9,64.3,35.4,55.5,41,59.3,36.8,69.7,21,5.3,2.3,0.4,1.4,69,19.5,6.7,3.2,0.3,1.3,89.8,31.4,33.7,65627.00
