district,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,Bachelor's Degree or Higher,White BA (Bachelor's Degree or Higher Among Whites Only),Median Income
TX-04,21.8,75.4,24.8,74,29.4,69.9,23,75.7,0,88,0,100,78.7,10.7,7.5,0.8,0.7,1.6,77.1,10.3,9.8,0.9,0.8,1.1,86.7,21.8,23.9,54404.00
TX-05,34.3,62.7,34.4,64.5,37.4,61.9,37.5,62.3,0,80.6,0,85.4,65.4,16.5,14.8,1.5,0.5,1.2,62.5,13.3,20.9,1.8,0.4,1,80.5,20.4,25.1,51869.00
TX-06,41.9,54.2,40.8,57.9,42.3,57.1,45.4,53.1,39,58.3,36.4,61.1,57.1,20.5,16,4.4,0.3,1.7,58.5,17,17.9,4.9,0.4,1.3,88.2,29.7,34.1,68263.00
TX-07,48.5,47.1,38.6,59.9,40.5,58.8,52.5,47.5,43.8,56.2,34.5,63.3,54.9,14.3,20,9.2,0.2,1.4,50.9,10.7,27.1,9.6,0.2,1.5,89.1,49.2,61.8,75170.00
TX-08,23.9,72.7,21.7,77,26.2,73.2,24.9,73.4,0,100,0,89.3,73.1,9.2,13.8,2.2,0.3,1.3,71.8,8.3,16.6,2,0.4,1,86.9,31.1,34.1,70669.00
TX-09,79.3,18,78,21.1,76.2,23.4,89.1,0,80.6,19.4,90.8,0,15.8,47,24.8,11.4,0.2,0.9,13.9,38.2,34,12.5,0.2,1.2,78.2,24.7,43.9,48091.00
TX-10,43.2,52.3,38.8,59.1,42.7,56.4,46.8,51.1,38.4,57.3,34.1,62.2,63.5,11.4,19,4.5,0.2,1.4,61.8,9.5,22.8,4.4,0.3,1.2,89,39.8,46.7,75663.00
TX-11,19.1,77.8,19.6,79.2,23.2,76.1,18.4,80.1,0,89.5,0,90.3,63.9,3.8,30.3,0.7,0.4,1,66.2,3.3,28.4,0.8,0.4,0.8,82.4,21.2,27.2,56714.00
TX-12,32.7,62.9,31.7,66.8,35.5,63.7,33.9,64.3,26.9,69.4,26.3,71.3,70.8,8.5,15.9,2.8,0.4,1.6,70.7,7.2,17.3,3.1,0.5,1.2,88.4,31.1,35.4,67078.00
TX-13,16.9,79.9,18.5,80.2,22.3,77,16.9,81.5,0,90,12.8,84.3,72.5,5.5,18.6,1.4,0.6,1.4,71.2,5.2,20.3,1.6,0.6,1,83.7,20.5,24.9,52057.00
TX-14,38.4,58.2,39.5,59.3,42.2,57.1,39.3,59.2,38.1,61.9,36.1,61.9,57.7,21,17.5,2.5,0.3,1,56.9,19.8,19.2,2.8,0.4,1,85.7,24,30.1,60706.00
TX-15,56.7,40,57.4,41.5,57.4,41.9,59.7,38.8,57.3,37.7,54,43.3,22.1,2.4,73.8,1.1,0.2,0.4,19.4,1.7,77.3,1.2,0.1,0.4,70.2,19.9,31.9,44590.00
TX-16,67.9,27.2,64.2,34.5,64.6,34.7,68.5,27,85.7,0,67.5,29.2,17.5,4.2,76,1.3,0.3,0.8,17.1,3,77.5,1.4,0.3,0.7,79.7,24.6,41.3,46212.00
TX-17,38.8,56.3,37.7,60.4,41,58.1,41.3,56.8,35.2,60.8,32.4,64.6,64.1,12.9,18.1,3.2,0.2,1.5,62.1,12.4,19.9,4.2,0.3,1.1,86,30.5,36.3,53336.00
TX-18,76.5,20,76.1,22.8,76.7,22.9,75.2,20.8,73.5,23.6,71.8,24.8,22.8,45,26.8,4.2,0.1,1.1,20,41,34,3.7,0.2,1,76.7,22.6,50.3,46379.00
TX-19,23.5,72.5,25,73.6,28,71.3,24.8,75.2,0,86.7,18.4,77.1,61.2,6.1,30.1,1.1,0.4,1.1,62.2,5.7,29.4,1.4,0.4,0.9,82,22.3,30,49812.00
TX-20,61,34.3,58.9,39.7,58.5,40.8,80.9,0,79.7,0,75.7,0,25.7,5.5,65,2.3,0.2,1.2,26.6,4.6,64.7,2.8,0.2,1.1,81.4,24.4,41,52104.00
TX-21,42.5,52.5,37.9,59.8,42.4,56.7,47.6,50.2,36.4,57,0,71.8,67.6,3.5,24.7,2.4,0.1,1.6,66.8,3.3,25,3.3,0.3,1.3,93.1,45.8,50.7,69797.00
TX-22,44.2,52.1,36.7,62.1,38.8,60.5,46.5,51.4,40.5,59.5,31.6,66.5,47.6,14.6,20.7,15.4,0.3,1.3,48.2,11.9,22.1,16.1,0.2,1.4,90.9,45.6,48.2,95463.00
TX-23,49.8,46.4,48.1,50.7,50,49.4,48.7,49.2,47,48.3,47.7,49.8,30.8,3.8,62.9,1.3,0.4,0.8,28.5,3,66.2,1.3,0.3,0.6,75.9,21.8,40.2,54015.00
TX-24,44.5,50.7,38,60.4,40.7,58.6,47.5,50.6,39.3,56.2,32.3,65,60.6,12.3,15.4,9.3,0.4,2,57.3,9.6,20.4,10.7,0.4,1.5,90.6,45.9,51.1,73454.00
TX-25,40.2,55.1,37.8,59.9,42.8,56.2,44.8,53.5,37.7,58.3,36.2,60.2,73.6,7.4,14.3,2.5,0.3,1.9,72.8,6.9,15.4,3,0.4,1.4,90.4,37.9,41.2,70199.00
TX-26,34.4,60.9,30.7,67.6,35,64.3,39,59.4,29.6,66.4,0,82.7,72.4,8.2,12.8,4.4,0.4,1.9,71.5,6.7,14.8,5,0.5,1.5,92.7,43.8,46.1,89458.00
TX-27,36.5,60.1,38.2,60.5,40.2,59.1,36.6,60.3,38.3,61.7,33.7,63.6,46.2,5.3,46.3,1.2,0.3,0.8,47.3,5.1,45.1,1.5,0.3,0.8,81.9,19.7,28.4,54353.00
TX-28,58.3,38.5,60.3,38.7,58.4,41.1,84.4,0,66.2,31.3,82.1,0,23.3,5.5,69.1,1.1,0.1,1,21.1,4.1,72.9,1.1,0.2,0.6,72.3,18.5,27.2,47834.00
TX-29,71.1,25.4,65.9,33,62.3,37.1,75.1,23.9,72.5,24,89.5,0,16.7,16.1,64.2,2.2,0.3,0.6,14.7,10,72.8,1.8,0.2,0.5,61.1,10.1,20.4,43626.00
TX-30,79.1,18.3,79.6,19.6,78.5,21.1,91.1,0,81.6,15.1,87.9,0,21.7,52.1,22.8,2,0.2,1.2,21.3,44.7,30.8,2,0.3,0.9,76.7,20.3,41.4,46787.00
TX-31,40.8,53.5,38.3,59.6,42.8,56.2,47.7,50.6,36.5,58.4,32,64,62.9,11.3,19.5,3.7,0.3,2.3,63.6,10.5,19.5,4.3,0.4,1.7,92.1,35.4,39.5,71039.00
TX-32,48.5,46.6,41.5,57,44,55.3,52.3,45.8,0,71.1,35.4,61.8,62.2,13,15.3,7.4,0.3,1.9,57.7,11.4,21.9,7.3,0.3,1.3,86.7,43.9,56.6,72815.00
TX-33,72.9,23.7,72,27.1,68.7,30.7,76.2,21.9,73.7,26.3,86.5,0,24.9,24.3,47.1,2.4,0.3,1,19.9,16.9,59.7,2.4,0.3,0.8,59.1,10,22.9,41063.00
TX-34,59.2,37.7,60.8,38.3,60.2,39.2,60,40,62.7,37.3,59.5,38.6,19.1,1.6,78.4,0.5,0.2,0.2,18.2,1.4,79.3,0.7,0.1,0.3,68.6,15.8,27.6,38824.00
TX-35,64.1,30.5,63,34.6,63.5,35.6,71.3,26,63.1,31.6,62.5,33.3,34.3,10.3,52.3,1.5,0.2,1.3,29.8,9.6,57.7,1.6,0.3,1.1,78.3,20.7,36,48318.00
TX-36,25.2,72,25.7,73.2,29.6,69.6,27.4,72.6,0,88.6,22.1,76,70,9.7,17.1,1.7,0.4,1.2,69.2,9,18.3,2.2,0.5,0.9,84.2,18.8,20.9,60468.00
UT-01,22.4,49.7,20.4,77.4,29.4,67.7,24.9,61.6,26.4,65.9,27.9,64.6,86.4,1,8.5,1.6,0.9,1.6,84.8,1,10.2,1.9,0.9,1.2,92.4,29.9,32.5,68431.00
UT-02,32,46,29.2,68,38.4,58.5,38.9,56.1,33.9,61.6,32.9,61.4,84.8,0.9,9,2.7,1,1.6,80.9,1,12.5,3.5,0.9,1.2,90.4,32.3,35.4,61310.00
UT-03,23.3,47.2,19.5,78.3,29.5,67.5,27.3,67.5,26.5,73.5,22.5,72.2,88.5,0.5,6,2,1.4,1.7,85.7,0.5,8.6,2.5,1.5,1.3,94.4,41.5,43.6,71756.00
UT-04,32.4,39.1,30.2,67.2,40.9,56.1,50.1,49.9,41.3,53.8,45.8,50.9,83.1,1.2,9.9,3.6,0.7,1.5,79,1,14,4.1,0.6,1.3,91,30.2,32.9,72648.00
VT-AL,56.7,30.3,67,31.2,67.8,30.6,69.2,26,89.5,0,64.4,31,95,0.9,1.5,1,0.3,1.3,95.2,0.8,1.3,1.2,0.3,1.2,92.6,37.3,37.3,60076.00
VA-01,41.2,53.6,43.4,55.3,44.9,54.3,44.7,55.2,36.6,59.9,Redrawn,,72.2,16.7,5.9,2.7,0.3,2.2,72.6,15.9,6.7,2.8,0.4,1.6,91.2,36.5,39.3,86340.00
VA-02,45.4,48.8,48.2,50.5,49,50.1,51.1,48.8,38.5,61.3,Redrawn,,67.1,19.5,5.9,4.6,0.3,2.6,67.5,19,5.8,5.2,0.3,2.1,92.2,34.6,38.3,69721.00
VA-03,63.6,31.9,67.6,31.3,66.8,32.6,91.2,0,66.7,33.1,Redrawn,,45.6,45.2,4.3,2.2,0.3,2.3,46.6,44.3,4.3,2.6,0.4,1.9,88.9,26.5,32.6,54226.00
VA-04,58.7,37.1,60.3,38.5,60.7,38.6,62.6,35.9,57.7,42,Redrawn,,52.1,41.2,2.9,1.6,0.3,1.9,52,40.3,3.9,2,0.4,1.4,87,29.2,37.4,57062.00
VA-05,42.3,53.4,45.9,52.5,48,51.1,46.6,53.2,41.6,58.2,35.9,60.9,75.8,19.7,1.7,1.1,0.2,1.5,74.6,20,2.6,1.6,0.2,1,86.1,27.9,31.7,54239.00
VA-06,34.9,59.7,39.5,58.8,42,57,40.2,59.7,33.1,66.6,0,74.5,84.2,10.4,2.8,1.1,0.2,1.3,83.7,10.2,3.5,1.4,0.2,1,87.4,27.4,29.2,53804.00
VA-07,44,50.5,44.1,54.6,45.7,53.5,50.3,48.4,42.2,57.5,Redrawn,,72,19,3.7,3.4,0.3,1.7,71.6,17.5,5.3,4.1,0.2,1.3,90.8,39.2,42.4,77047.00
VA-08,73.5,20.9,67.8,31,68.2,30.5,76.1,23.7,68.4,27.3,63.1,31.4,62.7,13.9,10.8,9.9,0.1,2.6,56.4,13,17,11.1,0.2,2.2,91,61.8,77.1,106421.00
VA-09,27.3,68.8,34.9,63.1,40.2,58.4,34.8,65.2,28.3,68.6,0,72.1,91.4,5.4,1.3,0.9,0.2,0.9,91.3,5,1.6,1.2,0.2,0.8,83.4,20.6,20.4,43426.00
VA-10,52.2,42.2,48.8,49.9,51.2,48.4,56.1,43.7,46.9,52.7,40.4,56.5,70.1,7.3,7.9,12.1,0.2,2.4,68.9,6.6,10.6,11.9,0.2,1.8,92.5,55.5,58.1,124627.00
VA-11,66.9,27.5,62.5,36.3,62.5,37.1,71.1,26.9,87.9,0,56.9,40.4,56.8,13.5,11.1,15.3,0.2,3.1,53.1,11.6,15.5,17.3,0.2,2.4,91.3,55.5,66.7,110462.00
WA-01,54.1,37.8,54.1,43.3,56.3,41.9,59.3,40.7,55.4,44.6,55,45,82.7,1.2,5.2,7.1,1.1,2.8,80.4,1.1,6.7,8.4,1,2.3,94,43.3,41.3,95296.00
WA-02,56.9,34.8,59.2,38,60.5,37.6,71.3,0,64,36,60.6,39.4,79.1,2.6,6.3,7.4,1,3.5,78.3,2.3,7.5,8,1.3,2.6,92,31.6,32.8,68114.00
WA-03,42.5,49.9,47.9,49.6,50.9,47.1,47.3,52.7,38.2,61.8,38.5,61.5,86.7,1.3,4.9,3.2,0.7,3.2,86.2,1.3,5.9,3.4,1,2.2,90.9,25.6,26.1,63926.00
WA-04,35.1,57.9,37.9,59.7,39.2,58.9,37.2,62.8,0,100,0,100,70.9,1.1,22,1.5,2.6,2,64.1,0.9,29.5,1.6,2.3,1.5,79.4,20.5,26.7,56028.00
WA-05,39.1,52.2,43.7,53.5,46.3,51.2,45.2,54.8,40.4,59.6,39.3,60.7,87.8,1.4,4.5,2.1,1.4,2.9,87.9,1.4,4.4,2.5,1.6,2.2,92.8,29.6,30.2,52942.00
WA-06,51.8,39.5,56.1,41.2,57,40.9,63.9,36.1,61.5,38.5,63,37,81.6,3.5,5.1,4.1,1.6,4.2,81.9,3.5,5.1,4.3,2,3.2,92.4,29.8,31.8,62502.00
WA-07,82.1,12.2,79.2,18.1,80.4,18,83.6,16.4,100,0,81,19,77.1,3.6,5.2,9.3,0.5,4.4,74.9,4,6.3,10.9,0.7,3.2,95.1,60.4,64,86312.00
WA-08,47.7,44.7,49.7,48.1,51.5,46.8,52.4,47.6,39.8,60.2,36.7,63.3,79.9,2.7,6.6,6.8,0.9,3.1,79.5,2.2,7.7,7.3,0.9,2.4,91.4,34.4,34.7,83593.00
WA-09,70.5,23.3,68.3,29.6,68.6,29.9,100,0,72.9,27.1,70.8,29.2,56.2,10.8,6.6,21.1,0.6,4.7,53.7,10.2,9.8,22.5,0.6,3.2,89.6,42.6,48.7,78578.00
WA-10,51.3,39.9,56.3,41.1,57.2,41,61.5,38.5,58.7,41.3,54.7,45.3,73.5,6.2,7.3,7.3,1.3,4.5,73.8,5.5,7.7,8.1,1.2,3.7,91.8,28.3,30.5,64796.00
WV-01,26.4,68,35.5,62.2,41.5,56.7,35.4,64.6,31,69,36.1,63.9,94.8,2.5,1,0.6,0.2,0.9,95.6,1.7,0.9,0.8,0.2,0.9,89.4,23.2,22.8,47158.00
WV-02,29.4,65.8,38,60,43.9,54.7,43,54,41.8,58.2,43.9,47.1,92.2,4.4,1.5,0.6,0.2,1.1,92.5,4.3,1.5,0.6,0.2,0.9,87,21.4,21.2,50183.00
WV-03,23.3,72.5,32.8,65,42.3,55.7,43.6,56.4,24,67.9,44.7,55.3,94,3.7,0.8,0.4,0.2,0.9,93.7,3.9,0.7,0.6,0.2,0.9,83.1,16.1,15.9,38191.00
WI-01,42.3,52.6,47.4,51.6,50.8,48.1,42.3,54.6,30.2,64.9,36.6,63.3,86.2,5.1,6.2,1.2,0.3,1,85.7,4.7,6.9,1.5,0.3,0.9,91.8,28.4,30.1,65354.00
WI-02,65.8,29,68.3,30.5,70.1,28.6,97.4,0,68.7,31.2,68.4,31.5,88.6,3.9,3.2,2.7,0.3,1.4,86.9,3.7,4.6,3.4,0.3,1.1,94.1,41.8,42.7,66415.00
WI-03,44.8,49.3,54.8,43.8,59.4,39.1,59.6,40.3,98.9,0,56.5,43.4,94.6,1,1.4,1.5,0.5,0.9,94.6,0.9,1.6,1.7,0.6,0.6,92.4,25.5,25.9,54960.00
WI-04,74,21.8,75.3,23.8,74.4,24.6,75.6,21.6,76.7,0,70.2,26.9,51.7,32.7,10.5,2.8,0.5,1.8,51.5,30.4,12.9,3.2,0.6,1.5,85.3,27.9,41.1,43061.00
WI-05,37.3,57.4,37.7,61.3,41.8,57.2,38,61.9,29.3,66.7,30.4,69.5,91.5,2.1,3.6,1.7,0.3,0.9,91.7,1.4,3.9,2.1,0.3,0.7,94.5,37.2,37.3,70304.00
WI-06,38.8,55.7,45.8,53.1,49.4,49.3,44.5,55.5,37.3,57.2,40.9,56.8,93,1.7,2.5,1.6,0.4,0.8,93,1.5,2.8,1.7,0.4,0.6,92.3,25.8,26.4,59455.00
WI-07,37.3,57.7,47.8,50.9,53.2,45.3,38.5,60.1,38.3,61.7,39.4,59.3,94.2,0.6,1.2,1.1,1.7,1.1,94.5,0.5,1.3,1.2,1.7,0.8,91.9,23.1,23.4,55016.00
WI-08,38.6,56.2,47.6,51.3,53.7,45,36.3,63.7,37.3,62.6,34.9,65,91.8,1.1,2.4,1.5,2.1,1.1,91.3,0.9,3.2,1.7,2.1,0.8,92.5,26,26.7,60166.00
WY-AL,22.5,70.1,28,69.2,32.7,65.2,29.8,63.6,30,62,22.9,68.5,88.1,0.8,6.9,0.6,2,1.6,87.9,0.8,7.5,0.9,1.8,1.1,92.9,26.9,28.5,62268.00
